Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,
Africa Eastern and Southern,AFE,Arable land (% of land area),AG.LND.ARBL.ZS,,4.132469052,4.148918714,4.272969868,4.3309435,4.361275416,4.376410538,4.392118768,4.426189787,4.476366283,4.577138838,4.618294603,4.648421427,4.674026426,4.699317002,4.754603366,4.765461881,4.778750792,4.877907833,4.84769713,4.848278376,4.884801865,4.920967225,4.976258996,5.021323938,5.217469932,5.282342752,5.29350335,5.341391429,5.425303807,5.429960284,5.454782624,5.461398466,5.866479023,5.90244055,5.929053477,5.915697434,5.936266309,5.934635263,5.999908541,6.040619178,6.051029342,6.113182849,6.270698532,6.375719598,6.495233823,6.591363873,6.714400101,6.836931388,7.086130304,7.257035286,7.502711354,7.881859768,7.914251485,7.965476897,8.00581917,8.102250076,8.164970852,8.262096086,8.262848172,8.28489221,8.325633243,8.377875687,
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,,11.72899131,11.80565138,11.88231145,11.95897153,11.95897153,12.01263358,12.02643239,12.02643239,12.05096362,12.06629563,12.11229168,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,11.99576836,11.81025099,11.73359091,11.7243917,11.78265336,11.89304386,11.73359091,11.77958696,11.77958696,11.77192095,11.91604189,11.98350275,11.96663754,11.94977232,11.94977232,11.94977232,11.94823912,11.94823912,11.94517272,11.94363951,11.93597351,11.91450869,11.90530948,11.85011422,11.80411818,11.94977232,11.94057311,12.00343437,12.00343437,12.00343437,
Africa Western and Central,AFW,Arable land (% of land area),AG.LND.ARBL.ZS,,6.987281381,7.0142529,7.052720476,7.079249838,7.117275258,7.145352166,7.18956777,7.310718526,7.321551349,7.235773077,7.274019574,7.29236905,7.28341539,7.213652614,7.271788613,7.337012397,7.350167703,7.394608315,7.468676001,7.524171492,7.502614479,7.56352686,7.604761557,7.668308371,7.725553905,7.764779975,7.778469286,7.843563783,7.89318145,8.102542103,8.348604963,8.622747215,8.784903546,8.944738353,9.323238648,9.549734373,9.623451676,9.723176299,9.935439586,9.958885547,10.06928034,10.16541876,10.36072276,10.30745449,10.44369227,10.46237717,10.57158783,10.74147675,10.91704609,10.9976502,11.08362832,11.27638624,11.54848414,11.6531017,11.79710118,11.93814704,12.06816299,12.21533465,12.30414721,12.32802234,12.41022666,12.44655185,
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.36889388,3.769952675,3.769952675,3.886259726,4.018609128,4.110852651,4.288922756,4.292933344,4.296943932,4.301756638,4.305767225,4.309777813,4.309777813,
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.33576642,22.31189781,22.26277372,21.88321168,21.89416058,21.82846715,
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510638,1.829787234,1.723404255,1.70212766,1.659574468,1.638297872,1.617021277,1.638297872,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.754255319,1.683191489,1.635957447,1.590638298,1.590638298,
Arab World,ARB,Arable land (% of land area),AG.LND.ARBL.ZS,,3.142196962,3.135254651,3.146647162,3.171746288,3.204143741,3.185452903,3.202185653,3.184028839,3.196222386,3.212332108,3.229954899,3.27054072,3.272065437,3.302682919,3.299567768,3.33926369,3.320483781,3.338284643,3.328494169,3.318970708,3.34545839,3.357539835,3.338617519,3.376677542,3.39914579,3.423265958,3.46315769,3.470011021,3.480673738,3.527169589,3.586197247,3.65557672,3.714871285,3.660046321,3.650180345,3.659990035,3.631127867,3.611989536,3.596021363,3.557334071,3.524020191,3.531584876,3.572016362,3.519570217,3.470117944,3.481664976,3.483483103,3.410428896,3.383758155,3.400706296,3.406891533,4.465622929,4.488760128,4.447141091,4.47266572,4.537750773,4.596059846,4.586370671,4.528328083,4.614248426,4.572908797,4.564155012,
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,,0.070402703,0.070402703,0.070402703,0.070402703,0.070402703,0.084483244,0.084483244,0.084483244,0.084483244,0.098563785,0.098563785,0.098563785,0.112644326,0.126724866,0.154885948,0.154885948,0.168966488,0.168966488,0.168966488,0.225288651,0.267530273,0.253449732,0.323852436,0.337932977,0.366094058,0.40833568,0.40833568,0.40833568,0.40833568,0.492818924,0.492818924,0.535060546,0.563221628,0.591382709,0.60546325,0.647704872,0.633624331,0.506899465,0.60546325,0.844832442,0.999718389,1.056040552,0.901154604,0.887074064,0.957476767,0.712475359,0.627992115,0.7265559,0.702618981,0.712475359,0.635032385,0.52238806,0.528020276,0.61954379,0.620951845,0.626584061,0.626584061,0.595606871,0.702618981,0.689946494,0.708251197,0.708251197,
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,8.76131385,8.80735487,8.853395891,8.899436911,8.945477931,8.991518952,9.037559972,9.083600992,9.129642013,9.175683033,9.221724054,9.267765074,9.313806094,9.359847115,9.405888135,9.451929155,9.497970176,9.544011196,9.590052216,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.89937114,11.6178303,12.34761701,13.00202069,13.51446455,13.02167947,12.60307159,13.88651985,14.11431328,14.47840274,14.39377496,14.24250686,14.7452706,14.62850359,14.75340148,14.6824196,14.92667207,15.32151994,15.43086221,15.74872455,
